time,ITAir,ITLiq
0,237152.3135,237152.3135
3600,270714.3628,270714.3628
7200,258502.9974,258502.9974
10800,261251.3369,261251.3369
14400,252078.7196,252078.7196
18000,249567.6201,249567.6201
21600,236424.8941,236424.8941
25200,256183.9944,256183.9944
28800,286484.8894,286484.8894
32400,292691.2236,292691.2236
36000,297012.2984,297012.2984
39600,304306.3002,304306.3002
43200,291539.7089,291539.7089
46800,343641.8223,343641.8223
50400,361644.4441,361644.4441
54000,322994.9335,322994.9335
57600,319876.7766,319876.7766
61200,337145.6714,337145.6714
64800,382704.9626,382704.9626
68400,394427.2982,394427.2982
72000,383255.2663,383255.2663
75600,359213.5886,359213.5886
79200,372979.5103,372979.5103
82800,348068.9224,348068.9224
86400,371851.8295,371851.8295
90000,386943.3196,386943.3196
93600,350040.1262,350040.1262
97200,336326.7497,336326.7497
100800,304854.2418,304854.2418
104400,356162.7113,356162.7113
108000,335854.1857,335854.1857
111600,339702.246,339702.246
115200,281577.0614,281577.0614
118800,303681.1476,303681.1476
122400,303781.2078,303781.2078
126000,288144.67,288144.67
129600,306771.3206,306771.3206
133200,344152.8456,344152.8456
136800,331763.3282,331763.3282
140400,348632.6603,348632.6603
144000,330007.2177,330007.2177
147600,331539.9227,331539.9227
151200,344936.1561,344936.1561
154800,357821.4858,357821.4858
158400,325524.5903,325524.5903
162000,312645.7912,312645.7912
165600,323579.1294,323579.1294
169200,343838.2713,343838.2713
172800,350719.0632,350719.0632
176400,367206.0287,367206.0287
180000,329709.8512,329709.8512
183600,329651.758,329651.758
187200,293798.3657,293798.3657
190800,284901.1679,284901.1679
194400,270963.5457,270963.5457
198000,291807.9084,291807.9084
201600,303767.4662,303767.4662
205200,322230.7432,322230.7432
208800,334968.2432,334968.2432
212400,345098.2565,345098.2565
216000,339952.2053,339952.2053
219600,337025.5974,337025.5974
223200,338860.0546,338860.0546
226800,354012.7288,354012.7288
230400,357791.8459,357791.8459
234000,359466.1529,359466.1529
237600,334243.5383,334243.5383
241200,352309.5165,352309.5165
244800,324676.6263,324676.6263
248400,334117.3359,334117.3359
252000,338870.8936,338870.8936
255600,326621.4742,326621.4742
259200,316780.7405,316780.7405
262800,320364.6543,320364.6543
266400,303429.3271,303429.3271
270000,332376.598,332376.598
273600,323786.6655,323786.6655
277200,323327.5471,323327.5471
280800,289864.9242,289864.9242
284400,285118.7118,285118.7118
288000,309285.8975,309285.8975
291600,280461.4536,280461.4536
295200,296151.0161,296151.0161
298800,325519.8595,325519.8595
302400,304387.9077,304387.9077
306000,367976.5246,367976.5246
309600,332412.7584,332412.7584
313200,358049.9225,358049.9225
316800,343716.8887,343716.8887
320400,393504.4493,393504.4493
324000,375987.9881,375987.9881
327600,392782.5304,392782.5304
331200,416507.6783,416507.6783
334800,419790.9728,419790.9728
338400,412957.4299,412957.4299
342000,411144.8538,411144.8538
345600,395160.4977,395160.4977
349200,362803.4661,362803.4661
352800,315359.3366,315359.3366
356400,306918.415,306918.415
360000,298842.8021,298842.8021
363600,301070.2677,301070.2677
367200,273899.8083,273899.8083
370800,255447.7174,255447.7174
374400,264174.5666,264174.5666
378000,302104.3086,302104.3086
381600,264531.4768,264531.4768
385200,310877.5018,310877.5018
388800,284634.4661,284634.4661
392400,332118.506,332118.506
396000,328749.878,328749.878
399600,336498.2643,336498.2643
403200,301190.1651,301190.1651
406800,309461.2044,309461.2044
410400,314334.7399,314334.7399
414000,288215.4502,288215.4502
417600,276103.5611,276103.5611
421200,269530.4423,269530.4423
424800,260834.7808,260834.7808
428400,269545.9952,269545.9952
432000,286925.2356,286925.2356
435600,338959.4704,338959.4704
439200,267934.5296,267934.5296
442800,284138.68,284138.68
446400,281301.6834,281301.6834
450000,276279.7261,276279.7261
453600,275146.6074,275146.6074
457200,277348.8525,277348.8525
460800,303199.3651,303199.3651
464400,277646.2869,277646.2869
468000,300989.1157,300989.1157
471600,294673.8121,294673.8121
475200,283473.2033,283473.2033
478800,331069.4153,331069.4153
482400,305412.3373,305412.3373
486000,312456.4283,312456.4283
489600,299803.6304,299803.6304
493200,306561.8157,306561.8157
496800,299636.975,299636.975
500400,285351.9697,285351.9697
504000,301014.132,301014.132
507600,284903.3515,284903.3515
511200,281826.5563,281826.5563
514800,277894.0429,277894.0429
518400,311485.9215,311485.9215
522000,297486.6356,297486.6356
525600,271635.0139,271635.0139
529200,241610.4831,241610.4831
532800,239105.4263,239105.4263
536400,239873.3091,239873.3091
540000,247256.1262,247256.1262
543600,270482.6746,270482.6746
547200,270425.1513,270425.1513
550800,260958.0583,260958.0583
554400,266827.8426,266827.8426
558000,256886.264,256886.264
561600,266600.4254,266600.4254
565200,286706.0178,286706.0178
568800,269557.3011,269557.3011
572400,287340.0158,287340.0158
576000,264790.352,264790.352
579600,267069.0695,267069.0695
583200,288654.8371,288654.8371
586800,268733.4734,268733.4734
590400,247305.4264,247305.4264
594000,275189.8401,275189.8401
597600,254406.9714,254406.9714
601200,261955.591,261955.591
604800,283994.0135,283994.0135
